Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
02-12-2017,635,Trayodasi,Bharani,Taitula,Parigha,"24 6'17""",Mesha
30-04-2017,633,Chavithi,Mrugasira,Vishti,Atiganda,"24 5'49""",Mithuna
30-05-2017,633,Panchami,Pushyami,Balava,Vridhi,"24 5'53""",Karkataka
22-07-2017,631,Chaturdasi,Aarudra,Vishti,Vyaghata,"24 6'2""",Mithuna
29-07-2017,630,Shasti,Hasta,Taitula,Siddha,"24 6'3""",Kanya
05-02-2017,626,Navami,Kruthika,Balava,Bramha,"24 5'41""",Vrushabha
24-09-2016,624,Ashtami,Aarudra,Kaulava,Variyan,"24 5'24""",Mithuna
06-08-2016,624,Thadiya,Pubha,Garaja,Siva,"24 5'19""",Simha
09-05-2016,622,Thadiya,Rohini,Taitula,Atiganda,"24 5'6""",Vrushabha
25-11-2017,620,Shasti,Sravanam,Taitula,Vridhi,"24 6'16""",Makara
10-09-2017,619,Chaviti,Ashwini,Balava,Dhruva,"24 6'8""",Mesha
16-04-2017,618,Panchami,Jyesta,Kaulava,Variyan,"24 5'48""",Vrushchika
21-05-2017,618,Dasami,Purva-Bhadra,Vanija,Vishkambha,"24 5'52""",Kumbha
23-07-2016,616,Thadiya,Satabhisham,Vishti,Saubhagya,"24 5'17""",Kumbha
17-09-2016,615,Padyami,Purva-Bhadra,Balava,Ganda,"24 5'23""",Meena
16-05-2017,615,Panchami,Purva-Shada,Kaulava,Subha,"24 5'51""",Dhanu
03-05-2016,613,Ekadasi,Purva-Bhadra,Bawa,Indra,"24 5'5""",Kumbha
31-12-2016,611,Vidhiya,Uttara-Shaada,Balava,Vyaghata,"24 5'36""",Makara
26-03-2017,611,Trayodasi,Satabhisham,Garaja,Sadhya,"24 5'46""",Kumbha
22-10-2017,610,Vidhiya,Visakha,Kaulava,Ayushman,"24 6'11""",Tula
02-10-2016,610,Padyami,Chitta,Bawa,Indra,"24 5'24""",Kanya
19-02-2017,608,Ashtami,Anuradha,Balava,Vyaghata,"24 5'43""",Vrushchika
08-04-2016,606,Padyami,Revathi,Kimstughana,Vaidhruthi,"24 5'2""",Meena
25-08-2019,605,Navami,Rohini,Garaja,Harshana,"24 7'40""",Vrushabha
17-09-2017,602,Dvadasi,Pushyami,Kaulava,Siva,"24 6'8""",Karkataka
24-12-2016,600,Ekadasi,Swati,Bawa,Atiganda,"24 5'35""",Tula
08-01-2017,599,Dasami,Bharani,Garaja,Sadhya,"24 5'37""",Mesha
05-11-2017,599,Padyami,Bharani,Kaulava,Vyatipata,"24 6'13""",Mesha
12-11-2017,595,Navami,Makha,Taitula,Bramha,"24 6'14""",Simha
18-06-2017,594,Ashtami,Uttara-Bhadra,Kaulava,Ayushman,"24 5'56""",Meena
22-01-2017,593,Dasami,Visakha,Vanija,Ganda,"24 5'40""",Tula
02-04-2017,592,Shasti,Rohini,Kaulava,Saubhagya,"24 5'47""",Vrushabha
