Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
31-01-2020,3595,,,,,,,
11-12-2018,3594,,,,,,,
10-09-2022,3594,,,,,,,
05-09-2018,3593,,,,,,,
02-09-2021,3592,,,,,,,
14-10-2019,3589,,,,,,,
07-02-2018,3588,,,,,,,
12-03-2020,3586,,,,,,,
06-09-2018,3584,,,,,,,
12-01-2018,3582,,,,,,,
29-01-2022,3580,,,,,,,
30-11-2018,3579,,,,,,,
09-10-2018,3579,,,,,,,
04-02-2019,3577,,,,,,,
03-03-2021,3574,,,,,,,
15-04-2021,3571,,,,,,,
24-03-2020,3567,,,,,,,
25-06-2022,3565,,,,,,,
26-04-2021,3561,,,,,,,
02-10-2018,3561,,,,,,,
03-09-2022,3555,,,,,,,
06-12-2017,3555,,,,,,,
20-04-2021,3553,,,,,,,
20-09-2017,3550,,,,,,,
01-10-2018,3547,,,,,,,
26-11-2018,3541,,,,,,,
13-03-2020,3541,,,,,,,
19-06-2021,3541,,,,,,,
03-04-2020,3540,,,,,,,
06-04-2021,3539,,,,,,,
21-03-2018,3539,,,,,,,
11-02-2019,3536,,,,,,,
11-09-2018,3535,,,,,,,
21-11-2018,3533,,,,,,,
